,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes
308,Alijó,2022,11,Vila Real,4259,4838,68,0,0,13,15,11,9,7438,94,1542,23,116,9097
309,Alijó,2022,12,Vila Real,4196,4902,52,0,1,36,23,20,10,7438,95,1544,21,142,9098
310,Alijó,2023,1,Vila Real,4191,4914,41,0,3,24,16,19,8,7441,95,1548,21,111,9105
311,Alijó,2023,2,Vila Real,4175,4949,24,0,0,27,22,23,12,7454,95,1554,21,108,9124
312,Alijó,2023,3,Vila Real,3948,5184,35,1,5,27,23,12,6,7457,95,1559,21,109,9132
313,Alijó,2023,4,Vila Real,4010,5122,24,0,0,26,21,5,12,7457,95,1559,21,88,9132
314,Alijó,2023,5,Vila Real,4044,5088,21,0,0,36,30,13,12,7457,95,1559,21,112,9132
315,Alijó,2023,6,Vila Real,4055,5091,5,0,0,28,17,10,10,7463,95,1565,23,70,9146
316,Alijó,2023,7,Vila Real,4009,5141,0,0,0,23,23,5,12,7471,95,1562,22,63,9150
317,Alijó,2023,8,Vila Real,3920,5242,2,0,1,30,25,10,10,7476,95,1568,23,78,9162
318,Alijó,2023,9,Vila Real,3988,5173,3,0,0,21,14,6,5,7476,95,1569,21,49,9161
319,Alijó,2023,10,Vila Real,3981,5182,4,0,1,24,18,10,5,7480,95,1567,21,62,9163
320,Alijó,2023,11,Vila Real,3983,5169,2,0,0,33,23,13,13,7467,95,1568,22,84,9152
321,Alijó,2023,12,Vila Real,3953,5192,1,0,0,29,18,12,3,7456,95,1572,22,63,9145
322,Alijó,2024,1,Vila Real,4108,5039,1,0,0,21,15,11,9,7456,95,1573,23,57,9147
323,Alijó,2024,2,Vila Real,3866,5264,2,0,0,26,15,14,5,7445,95,1568,22,62,9130
324,Alijó,2024,3,Vila Real,3640,5490,3,0,1,26,24,16,10,7442,95,1570,23,80,9130
325,Aljezur,2022,3,Faro,3825,2591,1,0,0,1,2,1,5,5312,121,951,32,10,6416
326,Aljezur,2022,4,Faro,3837,2581,2,0,0,2,2,5,7,5315,121,952,30,18,6418
327,Aljezur,2022,5,Faro,3716,2712,4,0,0,3,4,14,2,5324,121,954,29,27,6428
328,Aljezur,2022,6,Faro,3696,2730,1,0,0,4,3,6,1,5325,121,951,29,15,6426
329,Aljezur,2022,7,Faro,3616,2826,1,0,0,3,2,9,2,5335,121,957,29,17,6442
330,Aljezur,2022,8,Faro,3540,2907,1,0,0,5,4,6,7,5339,121,959,28,23,6447
331,Aljezur,2022,9,Faro,3675,2769,7,1,0,10,6,10,1,5337,121,959,27,35,6444
332,Aljezur,2022,10,Faro,3462,2988,9,0,0,11,12,8,6,5335,123,963,29,46,6450
333,Aljezur,2022,11,Faro,3502,2963,56,0,0,12,11,15,10,5343,123,970,29,104,6465
340,Aljezur,2023,6,Faro,2777,3746,20,0,0,18,13,10,15,5397,124,980,22,76,6523
341,Aljezur,2023,7,Faro,2470,4070,2,0,1,28,29,14,16,5412,124,983,21,90,6540
342,Aljezur,2023,8,Faro,2495,4051,0,0,4,16,13,6,10,5415,124,987,20,49,6546
343,Aljezur,2023,9,Faro,2462,4096,4,0,0,13,15,8,10,5426,124,989,19,50,6558
344,Aljezur,2023,10,Faro,2178,4391,2,0,0,26,20,17,8,5429,124,993,23,73,6569
345,Aljezur,2023,11,Faro,2069,4501,1,0,1,31,28,22,7,5430,125,994,21,90,6570
346,Aljezur,2023,12,Faro,1989,4593,4,0,0,13,11,17,6,5438,125,996,23,51,6582
347,Aljezur,2024,1,Faro,1926,4660,1,0,0,33,21,12,5,5442,125,996,23,72,6586
348,Aljezur,2024,2,Faro,1808,4778,2,0,0,11,10,11,3,5445,125,994,22,37,6586
349,Aljezur,2024,3,Faro,1764,4826,3,0,0,21,15,18,6,5447,125,996,22,63,6590
350,Aljustrel,2022,3,Beja,2037,3974,1,0,0,17,13,7,6,4885,60,1036,30,44,6011
351,Aljustrel,2022,4,Beja,1931,4078,4,0,0,36,36,13,15,4880,60,1038,31,104,6009
352,Aljustrel,2022,5,Beja,1788,4212,2,0,0,45,38,10,9,4875,60,1036,29,104,6000
353,Aljustrel,2022,6,Beja,1888,4116,2,0,0,50,44,11,11,4879,60,1037,28,118,6004
354,Aljustrel,2022,7,Beja,1756,4259,1,0,0,27,27,7,6,4888,60,1037,30,68,6015
355,Aljustrel,2022,8,Beja,1759,4268,1,0,0,46,38,12,7,4898,60,1038,31,104,6027
