,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes
4211,Palmela,2023,2,Setúbal,8890.0,30111.0,407.0,0.0,290.0,269.0,160.0,122.0,28426,482,9857,236,1248.0,39001.0
4212,Palmela,2023,3,Setúbal,7902.0,31130.0,590.0,0.0,328.0,272.0,238.0,126.0,28442,482,9879,229,1554.0,39032.0
4213,Palmela,2023,4,Setúbal,7296.0,31737.0,380.0,1.0,297.0,290.0,135.0,163.0,28443,482,9879,229,1266.0,39033.0
4214,Palmela,2023,5,Setúbal,6781.0,32252.0,843.0,1.0,399.0,345.0,156.0,139.0,28443,482,9879,229,1883.0,39033.0
4215,Palmela,2023,6,Setúbal,6537.0,32667.0,141.0,0.0,352.0,322.0,169.0,154.0,28518,487,9962,237,1138.0,39204.0
4216,Palmela,2023,7,Setúbal,6286.0,32988.0,23.0,0.0,338.0,307.0,177.0,148.0,28581,488,9977,228,993.0,39274.0
4217,Palmela,2023,8,Setúbal,6095.0,33294.0,23.0,0.0,302.0,257.0,169.0,135.0,28619,489,9996,285,886.0,39389.0
4218,Palmela,2023,9,Setúbal,5372.0,33953.0,24.0,0.0,249.0,229.0,151.0,123.0,28620,490,9993,222,776.0,39325.0
4219,Palmela,2023,10,Setúbal,5220.0,34163.0,50.0,0.0,393.0,318.0,203.0,141.0,28679,490,9994,220,1105.0,39383.0
4220,Palmela,2023,11,Setúbal,4965.0,34449.0,24.0,0.0,448.0,405.0,219.0,88.0,28717,490,9991,216,1184.0,39414.0
4221,Palmela,2023,12,Setúbal,4813.0,34642.0,21.0,0.0,270.0,219.0,215.0,57.0,28754,490,9993,218,782.0,39455.0
4222,Palmela,2024,1,Setúbal,4796.0,34687.0,18.0,0.0,403.0,308.0,249.0,64.0,28788,490,9992,213,1042.0,39483.0
4223,Palmela,2024,2,Setúbal,4612.0,34912.0,20.0,0.0,216.0,162.0,122.0,22.0,28818,490,10006,210,542.0,39524.0
4224,Palmela,2024,3,Setúbal,4091.0,35471.0,27.0,1.0,332.0,277.0,229.0,63.0,28826,491,10028,217,929.0,39562.0
4225,Pampilhosa da Serra,2022,3,Coimbra,2529.0,2836.0,0.0,0.0,4.0,5.0,4.0,1.0,4458,101,802,4,14.0,5365.0
4226,Pampilhosa da Serra,2022,4,Coimbra,2500.0,2856.0,1.0,0.0,4.0,5.0,13.0,1.0,4451,101,800,4,24.0,5356.0
4227,Pampilhosa da Serra,2022,5,Coimbra,2448.0,2895.0,1.0,0.0,3.0,3.0,7.0,1.0,4436,101,802,4,15.0,5343.0
4228,Pampilhosa da Serra,2022,6,Coimbra,2412.0,2937.0,0.0,0.0,2.0,3.0,5.0,1.0,4442,101,803,3,11.0,5349.0
4229,Pampilhosa da Serra,2022,7,Coimbra,2378.0,2970.0,0.0,0.0,4.0,4.0,7.0,1.0,4447,101,796,4,16.0,5348.0
4230,Pampilhosa da Serra,2022,8,Coimbra,2291.0,3058.0,0.0,0.0,4.0,3.0,10.0,2.0,4449,101,795,4,19.0,5349.0
