,concelho,ano,mes,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes,energia_ativa
230,Alcácer do Sal,2022,8,1392,7029,17,0,0,77,69,35,23,6642,102,1611,66,221,8421,7960286.785
231,Alcácer do Sal,2022,9,1380,7033,8,1,0,51,53,42,15,6638,102,1607,66,170,8413,6639094.865
232,Alcácer do Sal,2022,10,1339,7070,15,0,0,52,47,47,18,6641,102,1600,66,179,8409,5590558.4180000005
233,Alcácer do Sal,2022,11,1378,7042,122,1,0,66,58,42,18,6642,102,1600,76,307,8420,5119717.688
234,Alcácer do Sal,2022,12,1234,7193,151,0,3,50,46,53,9,6653,102,1600,72,312,8427,5201199.185
235,Alcácer do Sal,2023,1,1188,7241,130,0,2,61,58,40,22,6668,102,1595,64,313,8429,5938915.323000001
236,Alcácer do Sal,2023,2,1196,7235,72,0,2,55,54,38,21,6670,102,1596,63,242,8431,5428734.041
237,Alcácer do Sal,2023,3,1098,7339,72,0,2,55,50,36,18,6676,102,1599,60,233,8437,5672287.432
238,Alcácer do Sal,2023,4,1111,7326,34,0,1,63,57,19,26,6676,102,1599,60,200,8437,5713075.35
239,Alcácer do Sal,2023,5,1060,7377,43,0,0,82,69,25,33,6676,102,1599,60,252,8437,6101217.024
240,Alcácer do Sal,2023,6,1043,7437,9,0,0,69,69,28,26,6703,102,1609,66,201,8480,6379326.83
241,Alcácer do Sal,2023,7,980,7505,5,0,7,53,51,27,15,6707,102,1608,68,158,8485,7714282.475000001
242,Alcácer do Sal,2023,8,946,7542,2,0,19,37,47,28,19,6713,102,1611,62,152,8488,8606519.662
243,Alcácer do Sal,2023,9,837,7663,6,0,1,51,41,34,20,6719,102,1615,64,153,8500,7438068.705
244,Alcácer do Sal,2023,10,806,7695,7,0,0,62,51,25,16,6727,102,1613,59,161,8501,5917464.382999999
245,Alcácer do Sal,2023,11,679,7836,6,0,1,89,66,33,16,6728,102,1614,71,211,8515,5495166.087
246,Alcácer do Sal,2023,12,661,7850,8,0,0,49,47,41,12,6725,102,1610,74,157,8511,6080398.688
247,Alcácer do Sal,2024,1,603,7910,6,0,0,71,67,42,17,6744,102,1610,57,203,8513,5989956.944
248,Alcácer do Sal,2024,2,543,7965,5,0,0,33,23,10,12,6740,102,1609,57,83,8508,1640374.0559999999
253,Alenquer,2022,6,6434,18189,10,0,0,263,242,92,70,19865,269,4403,86,677,24623,17866389.091
273,Alenquer,2024,2,1261,23773,15,0,0,134,103,75,25,20190,273,4503,68,352,25034,4925825.981
275,Alfândega da Fé,2022,3,653,3510,0,0,0,11,6,2,4,3255,57,820,31,23,4163,1037544.012
276,Alfândega da Fé,2022,4,722,3444,2,0,0,21,24,9,16,3255,57,822,32,72,4166,910876.5079999999
277,Alfândega da Fé,2022,5,586,3574,0,0,0,30,22,6,12,3251,57,820,32,70,4160,860744.611
278,Alfândega da Fé,2022,6,622,3537,3,0,0,25,24,8,9,3249,57,820,33,69,4159,828927.309
279,Alfândega da Fé,2022,7,552,3615,2,0,0,20,14,7,4,3251,57,824,35,47,4167,971471.815
280,Alfândega da Fé,2022,8,523,3648,2,0,0,30,22,11,11,3254,57,827,33,76,4171,987621.972
281,Alfândega da Fé,2022,9,535,3640,0,0,0,28,23,7,17,3251,57,835,32,75,4175,851088.364
282,Alfândega da Fé,2022,10,512,3658,6,0,0,25,25,7,8,3250,57,831,32,71,4170,871687.05
283,Alfândega da Fé,2022,11,506,3662,46,0,0,20,16,11,11,3249,57,830,32,104,4168,987341.485
284,Alfândega da Fé,2022,12,488,3678,65,0,2,20,18,8,7,3251,57,828,30,120,4166,1126202.314
285,Alfândega da Fé,2023,1,487,3677,33,0,3,27,24,16,14,3249,57,828,30,117,4164,1143991.352
286,Alfândega da Fé,2023,2,483,3678,24,1,0,25,19,8,7,3250,57,825,29,84,4161,981837.624
287,Alfândega da Fé,2023,3,390,3775,32,0,0,26,19,12,9,3249,57,830,29,98,4165,944159.507
288,Alfândega da Fé,2023,4,391,3771,32,0,1,23,25,15,15,3246,57,830,29,111,4162,782108.157
289,Alfândega da Fé,2023,5,400,3762,27,0,0,34,24,6,15,3246,57,830,29,106,4162,757150.014
290,Alfândega da Fé,2023,6,400,3767,11,0,0,28,27,5,12,3248,57,834,28,83,4167,767803.3459999999
291,Alfândega da Fé,2023,7,375,3797,2,0,1,26,16,10,8,3248,57,836,31,63,4172,861189.252
