,concelho,ano,mes,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes,energia_ativa
3340,Moita,2023,6,9566,29819,127,0,0,500,405,172,142,31226,209,7763,187,1346,39385,9495951.89
3341,Moita,2023,7,9471,29968,7,0,1,518,431,163,147,31263,209,7769,198,1267,39439,9911530.943
3342,Moita,2023,8,9370,30076,10,0,65,525,405,197,128,31259,209,7777,201,1330,39446,9928135.221
3343,Moita,2023,9,8643,30829,12,0,0,434,362,189,123,31287,209,7787,189,1120,39472,9357637.456
3344,Moita,2023,10,8405,31100,13,0,2,541,424,190,139,31311,209,7795,190,1309,39505,9904912.315
3345,Moita,2023,11,7860,31655,6,1,0,602,485,217,121,31312,209,7799,195,1432,39515,10147130.679000001
3346,Moita,2023,12,7331,32174,7,0,0,381,310,186,78,31313,209,7789,194,962,39505,12234978.386
3347,Moita,2024,1,6163,33345,8,0,0,577,413,257,94,31319,209,7790,190,1349,39508,12177370.215
3348,Moita,2024,2,5600,33918,2,0,0,246,194,95,47,31322,209,7796,191,584,39518,4019313.785
3350,Monchique,2022,3,2912,1627,1,0,0,3,1,0,1,3519,131,875,14,6,4539,1911349.216
3351,Monchique,2022,4,2953,1587,1,0,0,8,8,8,2,3521,131,874,14,27,4540,1801867.343
3352,Monchique,2022,5,2850,1688,0,0,0,13,8,5,3,3519,131,874,14,29,4538,1774044.862
3353,Monchique,2022,6,2822,1717,1,0,0,18,15,5,3,3519,131,875,14,42,4539,1810563.688
3354,Monchique,2022,7,2787,1760,1,0,0,11,9,3,7,3525,131,877,14,31,4547,2030506.3429999999
3355,Monchique,2022,8,2769,1781,2,0,0,13,12,4,4,3528,131,877,14,35,4550,2030845.618
3356,Monchique,2022,9,2732,1821,0,0,0,11,9,1,3,3529,131,879,14,24,4553,1837619.6970000002
3357,Monchique,2022,10,2499,2058,3,0,0,10,11,7,5,3530,131,881,15,36,4557,1827494.3059999999
3358,Monchique,2022,11,2508,2054,63,0,0,12,9,9,3,3532,131,885,14,96,4562,1745188.276
3359,Monchique,2022,12,2354,2206,97,0,1,9,10,12,5,3529,131,886,14,134,4560,1834714.2259999998
3360,Monchique,2023,1,2293,2265,32,0,0,19,13,6,6,3528,131,885,14,76,4558,1868548.514
3361,Monchique,2023,2,2347,2215,29,0,0,9,9,9,4,3528,131,889,14,60,4562,1675577.7059999998
3362,Monchique,2023,3,2236,2324,47,0,6,22,16,6,6,3528,131,888,13,103,4560,1783074.528
3363,Monchique,2023,4,2212,2349,22,0,0,16,11,4,5,3529,131,888,13,58,4561,1693789.023
3364,Monchique,2023,5,2055,2506,22,0,0,17,12,7,13,3529,131,888,13,71,4561,1756114.764
3365,Monchique,2023,6,1976,2594,10,0,0,15,15,9,7,3535,131,891,13,56,4570,1840002.4649999999
3366,Monchique,2023,7,1820,2758,1,0,0,21,19,10,2,3541,131,894,12,53,4578,2009409.636
3367,Monchique,2023,8,1796,2784,0,0,6,22,18,7,7,3541,131,896,12,60,4580,2087946.885
3368,Monchique,2023,9,1681,2900,4,0,0,18,18,5,11,3542,131,896,12,56,4581,1854821.888
3369,Monchique,2023,10,1727,2857,1,0,0,24,13,4,6,3544,131,896,13,48,4584,1829926.546
3370,Monchique,2023,11,1569,3020,0,0,1,29,24,8,7,3546,131,900,12,69,4589,1684026.957
3371,Monchique,2023,12,1443,3143,2,0,0,16,15,9,3,3543,131,900,12,45,4586,1832498.088
3372,Monchique,2024,1,1435,3155,0,0,0,32,25,7,6,3546,131,901,12,70,4590,1894684.5669999998
3373,Monchique,2024,2,1392,3191,1,0,0,9,6,3,1,3539,131,901,12,20,4583,776079.433
3375,Mondim de Basto,2022,3,3066,2136,1,0,0,2,2,2,3,4338,84,747,33,10,5202,1309818.717
3376,Mondim de Basto,2022,4,3005,2203,2,0,0,12,14,3,7,4343,84,748,33,38,5208,1177281.692
3377,Mondim de Basto,2022,5,2919,2292,0,0,0,16,12,6,5,4346,85,747,33,39,5211,1176591.377
3378,Mondim de Basto,2022,6,2919,2294,4,0,0,9,8,1,4,4350,85,748,30,26,5213,1177928.172
3379,Mondim de Basto,2022,7,2638,2590,4,0,0,20,8,5,1,4359,85,752,32,38,5228,1375174.364
3380,Mondim de Basto,2022,8,2490,2742,1,0,0,11,17,9,11,4366,85,752,29,49,5232,1398642.853
3381,Mondim de Basto,2022,9,2455,2775,3,0,0,16,11,8,4,4366,85,751,28,42,5230,1235790.081
3382,Mondim de Basto,2022,10,2144,3088,4,0,0,13,11,10,3,4361,86,755,30,41,5232,1207033.139
3383,Mondim de Basto,2022,11,2310,2921,351,0,0,21,20,12,4,4362,86,756,27,408,5231,1239357.7959999999
3384,Mondim de Basto,2022,12,2071,3171,240,0,1,23,20,14,5,4365,86,757,34,303,5242,1365628.767
3385,Mondim de Basto,2023,1,1922,3310,105,0,2,32,25,17,9,4363,86,756,27,190,5232,1462235.5080000001
3386,Mondim de Basto,2023,2,1915,3319,75,0,0,19,16,13,10,4367,86,755,26,133,5234,1289036.701
3387,Mondim de Basto,2023,3,1821,3420,58,0,0,21,21,13,6,4368,86,760,27,119,5241,1291032.922
3388,Mondim de Basto,2023,4,1735,3506,59,0,0,19,17,8,3,4368,86,760,27,106,5241,1121513.787
3389,Mondim de Basto,2023,5,1491,3750,47,0,0,27,23,11,8,4368,86,760,27,116,5241,1149686.97
3390,Mondim de Basto,2023,6,1324,3935,8,0,0,12,16,5,6,4375,86,763,35,47,5259,1181132.112
3391,Mondim de Basto,2023,7,1168,4105,1,0,0,32,19,13,7,4384,86,768,35,72,5273,1375967.6809999999
3392,Mondim de Basto,2023,8,1051,4221,3,0,4,31,26,14,11,4390,86,769,27,89,5272,1418399.0629999998
3393,Mondim de Basto,2023,9,1003,4268,3,0,0,17,13,16,13,4385,86,772,28,62,5271,1206076.804
3394,Mondim de Basto,2023,10,965,4311,17,0,1,28,20,13,8,4392,86,771,27,87,5276,1232633.703
3395,Mondim de Basto,2023,11,900,4376,2,0,0,36,30,19,9,4389,86,774,27,96,5276,1284664.909
3396,Mondim de Basto,2023,12,805,4473,4,0,0,20,16,23,5,4385,86,776,31,68,5278,1518472.84
3397,Mondim de Basto,2024,1,789,4493,2,0,0,32,24,20,15,4389,86,781,26,93,5282,1534433.02
3398,Mondim de Basto,2024,2,519,4774,1,0,0,12,5,11,5,4399,86,782,26,34,5293,448805.98
3400,Monforte,2022,3,621,1614,1,0,0,11,6,4,4,1814,22,387,12,26,2235,1003273.961
3401,Monforte,2022,4,597,1633,0,0,0,11,12,11,5,1810,22,387,11,39,2230,921979.408
3402,Monforte,2022,5,594,1632,1,0,0,16,13,2,7,1805,22,388,11,39,2226,900109.432
3403,Monforte,2022,6,545,1682,3,0,0,20,17,3,5,1807,22,387,11,48,2227,965298.542
3404,Monforte,2022,7,516,1708,0,0,0,16,14,2,2,1805,22,386,11,34,2224,1117213.393
3405,Monforte,2022,8,497,1732,0,0,0,21,15,10,11,1809,22,387,11,57,2229,1014760.8230000001
3406,Monforte,2022,9,512,1713,0,0,0,18,13,10,3,1804,22,388,11,44,2225,828781.971
3407,Monforte,2022,10,523,1697,4,0,0,10,12,8,6,1799,22,388,11,40,2220,881326.045
3408,Monforte,2022,11,511,1710,19,0,0,12,6,4,2,1801,22,388,10,43,2221,972673.063
3409,Monforte,2022,12,511,1710,35,0,0,10,8,7,8,1802,22,388,9,68,2221,1045316.705
3410,Monforte,2023,1,511,1713,18,0,2,17,10,6,8,1804,22,387,11,61,2224,1115835.651
3411,Monforte,2023,2,524,1701,13,0,0,11,11,3,10,1805,22,387,11,48,2225,951290.648
3412,Monforte,2023,3,502,1722,1,0,1,12,13,8,6,1805,22,386,11,41,2224,958580.34
3413,Monforte,2023,4,471,1753,16,0,0,15,12,6,2,1805,22,386,11,51,2224,929628.452
3414,Monforte,2023,5,470,1754,30,0,0,20,13,6,8,1805,22,386,11,77,2224,886483.605
3415,Monforte,2023,6,477,1748,1,0,0,16,17,3,13,1806,22,385,12,50,2225,908976.304
3416,Monforte,2023,7,465,1761,0,0,0,11,12,4,9,1811,22,383,10,36,2226,942928.464
3417,Monforte,2023,8,460,1778,0,0,2,10,6,5,3,1819,22,384,13,26,2238,918796.2590000001
3418,Monforte,2023,9,498,1737,1,0,0,16,15,5,3,1818,22,385,10,40,2235,824370.301
3419,Monforte,2023,10,461,1774,0,0,0,9,12,6,4,1819,22,384,10,31,2235,963689.22
3420,Monforte,2023,11,437,1799,0,1,0,16,11,5,1,1818,22,386,10,34,2236,1078563.905
3421,Monforte,2023,12,427,1806,0,0,0,14,8,9,0,1817,22,385,9,31,2233,1195369.851
3422,Monforte,2024,1,410,1823,0,0,0,16,10,11,7,1819,22,384,8,44,2233,1186292.234
3423,Monforte,2024,2,344,1888,1,0,0,13,8,4,3,1819,22,383,8,29,2232,403200.766
3425,Montalegre,2022,3,8160,2310,0,0,0,0,0,0,2,8963,175,1284,48,2,10470,1995548.058
3426,Montalegre,2022,4,8083,2374,0,0,0,4,1,0,4,8951,176,1284,46,9,10457,1905275.276
3427,Montalegre,2022,5,8041,2409,0,0,0,5,3,0,3,8948,176,1281,45,11,10450,1940167.225
3428,Montalegre,2022,6,8028,2418,0,0,0,2,2,1,4,8944,176,1281,45,9,10446,1830999.089
3429,Montalegre,2022,7,8004,2456,0,0,0,1,3,1,4,8952,176,1286,46,9,10460,1964257.781
3430,Montalegre,2022,8,7973,2478,0,0,0,7,5,3,2,8940,177,1287,47,17,10451,1979215.629
3431,Montalegre,2022,9,7954,2504,0,0,0,1,2,0,2,8948,177,1286,47,5,10458,1850800.611
3432,Montalegre,2022,10,7916,2545,0,0,0,4,3,1,2,8953,177,1287,44,10,10461,1971763.044
3433,Montalegre,2022,11,7904,2557,12,0,0,5,3,1,2,8947,180,1290,44,23,10461,1968713.717
3434,Montalegre,2022,12,7851,2606,23,0,1,4,5,1,3,8937,181,1290,49,37,10457,2113661.218
3435,Montalegre,2023,1,7822,2628,31,0,0,6,6,2,5,8936,180,1292,42,50,10450,2147529.099
3436,Montalegre,2023,2,7791,2660,3,0,0,4,2,1,2,8935,180,1293,43,12,10451,1907479.871
3437,Montalegre,2023,3,7700,2749,9,0,0,5,4,2,0,8931,180,1294,44,20,10449,2015539.023
3438,Montalegre,2023,4,7673,2776,16,0,0,6,5,0,0,8931,180,1294,44,27,10449,1829857.052
3439,Montalegre,2023,5,7520,2929,22,0,0,10,6,0,5,8931,180,1294,44,43,10449,1801660.885
3440,Montalegre,2023,6,7370,3106,22,0,0,8,6,3,3,8951,180,1301,44,42,10476,1779209.07
3441,Montalegre,2023,7,7167,3324,1,0,0,3,3,3,5,8961,180,1303,47,15,10491,1892462.368
3442,Montalegre,2023,8,7083,3401,0,0,1,3,4,3,5,8953,180,1306,45,16,10484,1965308.471
3443,Montalegre,2023,9,6875,3615,0,0,0,4,3,6,0,8956,180,1308,46,13,10490,1803435.253
3444,Montalegre,2023,10,6857,3628,2,0,0,10,5,3,1,8953,180,1307,45,21,10485,1922452.483
3445,Montalegre,2023,11,6747,3731,1,0,0,13,16,4,4,8944,180,1311,43,38,10478,2037729.24
3446,Montalegre,2023,12,6674,3803,0,0,0,5,1,1,2,8936,180,1311,50,9,10477,2267616.185
3447,Montalegre,2024,1,6649,3833,0,0,0,10,7,7,2,8938,180,1321,43,26,10482,2320075.886
3448,Montalegre,2024,2,6537,3928,1,0,0,8,6,3,3,8924,181,1318,42,21,10465,750954.889
3450,Montemor-o-Novo,2022,3,1432,9304,3,0,0,57,41,20,24,8273,132,2280,51,145,10736,6324723.577
3451,Montemor-o-Novo,2022,4,1856,8884,7,0,0,87,83,47,22,8279,132,2279,50,246,10740,5670788.875
3452,Montemor-o-Novo,2022,5,1610,9141,5,0,0,122,91,33,33,8285,132,2283,51,284,10751,5932027.92
3453,Montemor-o-Novo,2022,6,1467,9295,4,0,0,125,99,48,38,8298,132,2280,52,314,10762,5821837.2129999995
3454,Montemor-o-Novo,2022,7,1451,9299,5,0,0,84,73,36,25,8282,132,2280,56,223,10750,6649617.53
3455,Montemor-o-Novo,2022,8,1442,9307,5,0,0,120,95,54,34,8286,132,2279,52,308,10749,6150521.769
3456,Montemor-o-Novo,2022,9,1427,9318,9,0,0,79,67,29,28,8284,132,2278,51,212,10745,5665037.396
3457,Montemor-o-Novo,2022,10,1426,9344,13,0,0,68,60,54,26,8301,132,2285,52,221,10770,5576637.253
3458,Montemor-o-Novo,2022,11,1462,9322,147,0,0,97,83,45,28,8310,132,2290,52,400,10784,5622615.039000001
3459,Montemor-o-Novo,2022,12,1428,9352,102,0,1,84,72,41,13,8305,132,2293,50,313,10780,5976864.013
3460,Montemor-o-Novo,2023,1,1450,9342,107,0,2,114,84,61,40,8319,132,2295,46,408,10792,6779004.124
3461,Montemor-o-Novo,2023,2,1447,9350,106,0,0,91,84,58,19,8329,132,2290,46,358,10797,6194223.352
3462,Montemor-o-Novo,2023,3,1368,9441,92,0,1,90,72,55,33,8338,132,2292,47,343,10809,6169810.5649999995
3463,Montemor-o-Novo,2023,4,1377,9432,38,0,0,88,80,33,31,8338,132,2292,47,270,10809,5617160.6
3464,Montemor-o-Novo,2023,5,1382,9427,41,0,0,122,100,37,36,8338,132,2292,47,336,10809,5860670.634
3465,Montemor-o-Novo,2023,6,1324,9511,7,0,0,111,90,50,35,8357,131,2297,50,293,10835,5920576.725
3466,Montemor-o-Novo,2023,7,1182,9657,8,0,0,96,76,38,45,8356,131,2299,53,263,10839,6468927.058999999
3467,Montemor-o-Novo,2023,8,1124,9719,5,0,12,97,88,45,39,8361,132,2299,51,286,10843,6165694.631
3468,Montemor-o-Novo,2023,9,1045,9795,7,0,0,59,62,38,28,8360,132,2299,49,194,10840,5646048.116
3469,Montemor-o-Novo,2023,10,966,9888,13,0,0,112,91,55,32,8364,132,2307,51,303,10854,5650439.925
3470,Montemor-o-Novo,2023,11,917,9949,8,0,0,112,95,54,28,8363,132,2316,55,297,10866,5878737.854
3471,Montemor-o-Novo,2023,12,865,10001,7,0,0,77,51,41,17,8365,132,2313,56,193,10866,6380334.415
3472,Montemor-o-Novo,2024,1,796,10067,4,0,0,100,78,44,28,8367,132,2314,50,254,10863,6665642.938
3473,Montemor-o-Novo,2024,2,711,10138,6,0,0,63,43,28,4,8360,132,2306,51,144,10849,1874228.869
3475,Montemor-o-Velho,2022,3,8366,5775,6,2,0,9,6,11,4,10653,183,3236,69,38,14141,4657221.65
3476,Montemor-o-Velho,2022,4,8344,5801,10,0,0,28,22,19,9,10659,183,3235,68,88,14145,4243974.501999999
3477,Montemor-o-Velho,2022,5,8113,6077,3,0,0,23,19,17,10,10652,183,3285,70,72,14190,4316154.847
3478,Montemor-o-Velho,2022,6,8111,6150,0,0,0,35,23,25,8,10660,183,3348,70,91,14261,4197857.235
3479,Montemor-o-Velho,2022,7,8001,6269,3,0,0,27,23,21,2,10664,183,3352,71,76,14270,4520561.4290000005
3480,Montemor-o-Velho,2022,8,7824,6438,4,0,0,39,27,18,10,10666,183,3341,72,98,14262,4739652.326
3481,Montemor-o-Velho,2022,9,7719,6510,0,0,0,29,31,37,11,10674,183,3306,66,108,14229,4637083.316
3482,Montemor-o-Velho,2022,10,7629,6597,9,0,0,27,23,29,10,10683,183,3292,68,98,14226,4561688.807
3483,Montemor-o-Velho,2022,11,7621,6589,118,0,0,27,25,24,9,10679,183,3276,72,203,14210,4519915.62
3484,Montemor-o-Velho,2022,12,7405,6800,113,0,0,23,20,21,9,10688,183,3268,66,186,14205,4964137.501999999
3485,Montemor-o-Velho,2023,1,7234,6969,157,0,2,38,27,30,9,10696,183,3261,63,263,14203,5088148.718
3486,Montemor-o-Velho,2023,2,6941,7259,81,0,0,28,29,24,4,10704,183,3256,57,166,14200,4415168.722
3487,Montemor-o-Velho,2023,3,6685,7531,186,0,1,38,31,25,6,10725,183,3251,57,287,14216,4563664.239
3488,Montemor-o-Velho,2023,4,6570,7646,59,0,0,30,30,20,7,10725,183,3251,57,146,14216,4111702.444
3489,Montemor-o-Velho,2023,5,6526,7690,66,0,0,41,36,19,9,10725,183,3251,57,171,14216,4199892.916
3490,Montemor-o-Velho,2023,6,6478,7886,14,0,0,35,28,23,8,10759,183,3369,53,108,14364,4142730.961
3491,Montemor-o-Velho,2023,7,6413,7966,5,0,0,30,27,24,9,10774,183,3370,52,95,14379,4417583.681
3492,Montemor-o-Velho,2023,8,6994,7382,10,0,3,40,33,26,8,10779,183,3356,58,120,14376,4484335.196
3493,Montemor-o-Velho,2023,9,6309,8020,16,0,0,38,26,61,8,10781,183,3316,49,149,14329,4298547.562
3494,Montemor-o-Velho,2023,10,6363,7950,24,0,0,55,40,51,15,10782,183,3299,49,185,14313,4581601.65
3495,Montemor-o-Velho,2023,11,7083,7219,6,0,0,71,56,48,8,10787,184,3279,52,189,14302,4810021.865
3496,Montemor-o-Velho,2023,12,6165,8157,3,0,0,54,50,34,8,10802,184,3281,55,149,14322,5429982.046
3497,Montemor-o-Velho,2024,1,6201,8114,2,0,0,53,38,48,12,10806,184,3275,50,153,14315,5336709.768
3498,Montemor-o-Velho,2024,2,6040,8268,3,0,0,35,23,26,3,10804,184,3270,50,90,14308,1772580.6840000001
3500,Montijo,2022,3,3767,28392,13,1,0,209,190,107,69,23922,280,7751,206,589,32159,17012239.011
3501,Montijo,2022,4,4250,27944,18,1,0,380,373,217,124,23947,280,7761,206,1113,32194,15448718.02
3502,Montijo,2022,5,3732,28483,9,0,0,469,372,215,142,23951,280,7774,210,1207,32215,16175340.492999999
3503,Montijo,2022,6,3899,28435,4,0,0,475,407,202,132,23978,280,7791,285,1220,32334,16000617.684
3505,Montijo,2022,8,3599,28758,4,0,0,558,501,198,149,24055,280,7810,212,1410,32357,17895502.391
3506,Montijo,2022,9,3537,28886,7,2,0,411,386,233,127,24110,280,7821,212,1166,32423,16717211.314
3507,Montijo,2022,10,3491,28974,63,0,0,372,349,218,84,24155,280,7819,211,1086,32465,16478574.622
3508,Montijo,2022,11,3548,28981,248,0,0,378,322,222,96,24199,280,7831,219,1266,32529,16319513.994
3509,Montijo,2022,12,3435,29121,473,0,1,354,316,206,120,24229,280,7831,216,1470,32556,17541667.38
3511,Montijo,2023,2,3195,29420,549,1,1,430,383,231,113,24278,280,7852,205,1708,32615,16876009.638
3512,Montijo,2023,3,2896,29746,332,0,17,415,385,241,137,24306,280,7849,207,1527,32642,17001470.47
3513,Montijo,2023,4,2930,29711,240,0,0,478,415,170,131,24305,280,7849,207,1434,32641,15205305.691
3514,Montijo,2023,5,2718,29923,473,1,1,554,481,186,139,24305,280,7849,207,1835,32641,16329545.808
3515,Montijo,2023,6,2778,30133,63,0,0,440,430,184,138,24458,280,7888,285,1255,32911,17092431.439
3518,Montijo,2023,9,2491,30442,11,0,0,342,313,203,114,24524,280,7921,208,983,32933,17312919.308
3519,Montijo,2023,10,1892,31056,11,0,1,463,366,207,131,24536,280,7926,206,1179,32948,17254525.973
3520,Montijo,2023,11,1397,31558,16,0,3,525,468,210,84,24536,281,7921,217,1306,32955,16896154.163
3523,Montijo,2024,2,1167,31817,8,0,0,251,208,109,39,24575,281,7928,200,615,32984,6276130.874
3525,Monção,2022,3,7567,7232,4,0,0,27,26,18,5,12238,183,2270,108,80,14799,5307931.119
3526,Monção,2022,4,7727,7094,5,0,0,57,54,21,28,12243,183,2284,111,165,14821,4801191.9
3527,Monção,2022,5,7541,7294,1,0,0,61,45,41,19,12247,184,2298,106,167,14835,4872389.99
3528,Monção,2022,6,7604,7246,3,0,0,80,64,28,22,12249,184,2310,107,197,14850,4764129.389
3529,Monção,2022,7,7556,7312,2,0,0,71,45,25,15,12262,184,2318,104,158,14868,5159956.259
3530,Monção,2022,8,7574,7327,1,0,0,89,72,26,36,12292,184,2327,98,224,14901,5051971.757
3531,Monção,2022,9,7542,7363,2,0,0,75,57,30,23,12299,184,2323,99,187,14905,4790682.828
3532,Monção,2022,10,7377,7527,4,0,0,62,53,34,20,12303,184,2325,92,173,14904,4964846.638
3533,Monção,2022,11,7379,7532,75,0,0,69,47,30,20,12311,184,2322,94,241,14911,5085123.554
3534,Monção,2022,12,7082,7847,298,0,1,67,54,45,19,12316,184,2319,110,484,14929,5293823.564
3535,Monção,2023,1,6841,8086,190,0,2,81,61,32,28,12323,184,2319,101,394,14927,5787897.775
3536,Monção,2023,2,6916,8022,186,0,0,94,61,36,35,12334,184,2316,104,412,14938,5322204.239
3537,Monção,2023,3,6479,8469,185,1,5,74,60,41,43,12343,184,2315,106,409,14948,5342632.766
3538,Monção,2023,4,6347,8601,216,0,0,79,70,29,20,12343,184,2315,106,414,14948,4652305.699
3539,Monção,2023,5,6390,8558,152,1,0,114,78,22,24,12343,184,2315,106,391,14948,4776641.349
3540,Monção,2023,6,5180,9838,74,1,0,110,91,28,35,12379,184,2352,103,339,15018,4797943.172
3541,Monção,2023,7,4191,10851,4,0,0,105,93,50,46,12384,184,2368,106,298,15042,4990862.4059999995
3542,Monção,2023,8,3844,11216,5,0,9,90,69,51,39,12400,185,2374,101,263,15060,5110438.565
3543,Monção,2023,9,2889,12175,10,0,1,75,56,45,34,12403,187,2378,96,221,15064,4916995.7809999995
3544,Monção,2023,10,2447,12612,18,0,3,113,87,47,39,12404,187,2372,96,307,15059,5239705.055
3545,Monção,2023,11,2524,12553,6,0,0,154,97,51,44,12416,187,2370,104,352,15077,5548839.516
3546,Monção,2023,12,1744,13329,7,0,1,80,63,49,27,12418,187,2368,100,227,15073,6127866.677
3547,Monção,2024,1,1596,13474,3,0,2,129,78,69,34,12425,187,2365,93,315,15070,6243398.033
3548,Monção,2024,2,1266,13799,5,0,1,62,45,29,14,12418,187,2366,94,156,15065,2309858.967
3550,Mora,2022,3,2576,1046,0,0,0,5,2,3,0,2961,35,615,11,10,3622,1198010.866
3551,Mora,2022,4,2601,1022,2,0,0,7,9,1,4,2961,35,616,11,23,3623,1125864.172
3552,Mora,2022,5,2401,1222,1,0,0,14,6,2,1,2962,35,617,9,24,3623,1230972.264
3553,Mora,2022,6,2436,1193,0,0,0,13,15,6,7,2966,35,618,10,41,3629,1331392.915
3554,Mora,2022,7,2320,1312,0,0,0,8,7,4,3,2967,35,620,10,22,3632,2082626.027
3555,Mora,2022,8,2248,1388,0,0,0,15,14,7,4,2970,35,620,11,40,3636,2820683.58
3556,Mora,2022,9,2167,1466,0,1,0,8,6,5,3,2972,35,617,9,23,3633,2219211.0779999997
3557,Mora,2022,10,2060,1569,3,0,0,10,9,11,6,2969,35,616,9,39,3629,1388941.992
3558,Mora,2022,11,2066,1559,76,0,0,10,8,8,3,2966,35,615,9,105,3625,1117834.404
3559,Mora,2022,12,1962,1664,162,0,3,8,6,4,4,2964,35,618,9,187,3626,1208533.919
3560,Mora,2023,1,1939,1684,56,0,2,15,12,8,2,2963,35,617,8,95,3623,1313315.6300000001
3561,Mora,2023,2,1866,1759,34,0,1,13,12,11,8,2966,35,615,9,79,3625,1174861.795
3562,Mora,2023,3,1797,1825,84,0,0,17,11,11,4,2965,35,614,8,127,3622,1194933.172
3563,Mora,2023,4,1664,1958,114,0,0,12,15,11,6,2965,35,614,8,158,3622,1155036.555
3564,Mora,2023,5,1475,2147,146,0,0,20,14,10,4,2965,35,614,8,194,3622,1223198.299
3565,Mora,2023,6,1390,2241,13,0,0,15,15,9,13,2968,35,620,8,65,3631,1387044.549
3566,Mora,2023,7,1266,2376,0,0,0,13,13,9,6,2978,35,621,8,41,3642,2340448.024
3567,Mora,2023,8,1210,2439,1,0,3,19,8,14,4,2982,35,622,10,49,3649,3130450.886
3568,Mora,2023,9,1183,2468,0,0,0,18,21,10,12,2985,35,622,9,61,3651,2322914.202
3569,Mora,2023,10,1161,2490,1,0,0,16,13,8,3,2987,35,622,7,41,3651,1417941.624
3570,Mora,2023,11,1127,2518,3,0,0,22,17,15,4,2982,35,622,6,61,3645,1119783.597
3571,Mora,2023,12,1083,2563,3,0,0,24,13,10,2,2982,35,623,6,52,3646,1295943.667
3572,Mora,2024,1,1041,2603,1,0,0,18,14,9,4,2979,35,624,6,46,3644,1284318.791
3573,Mora,2024,2,945,2696,1,0,0,8,5,7,1,2976,35,623,7,22,3641,490001.209
3575,Mortágua,2022,3,2782,3879,3,0,0,8,8,0,3,5435,123,1062,41,22,6661,4779824.576
3576,Mortágua,2022,4,2800,3864,6,0,0,17,18,23,6,5437,123,1062,42,70,6664,4171306.384
3577,Mortágua,2022,5,2673,3984,13,0,0,22,14,14,8,5437,123,1058,39,71,6657,3673564.5
3578,Mortágua,2022,6,2705,3949,7,0,0,26,24,8,5,5437,123,1059,35,70,6654,3340675.856
3579,Mortágua,2022,7,2635,4024,8,0,0,21,19,4,7,5439,123,1061,36,59,6659,3691646.896
3580,Mortágua,2022,8,2590,4072,3,0,0,30,22,14,6,5445,123,1064,30,75,6662,4016290.684
3581,Mortágua,2022,9,2529,4142,1,0,0,17,15,9,8,5453,123,1065,30,50,6671,4328857.997
3582,Mortágua,2022,10,2512,4161,12,0,0,18,19,13,9,5455,123,1066,29,71,6673,3774050.66
3583,Mortágua,2022,11,2498,4175,78,0,0,27,18,19,7,5456,123,1066,28,149,6673,3606749.259
3584,Mortágua,2022,12,2434,4242,52,0,1,20,23,15,2,5457,123,1068,28,113,6676,3655994.504
3585,Mortágua,2023,1,2447,4227,54,0,4,35,29,8,11,5457,123,1069,25,141,6674,3934372.683
3586,Mortágua,2023,2,2493,4185,54,0,0,18,22,15,4,5462,123,1067,26,113,6678,3356113.259
3587,Mortágua,2023,3,2360,4319,97,0,2,27,18,16,2,5462,123,1069,25,162,6679,3484881.076
3588,Mortágua,2023,4,2386,4294,27,0,0,27,24,14,10,5462,123,1070,25,102,6680,3810531.23
3589,Mortágua,2023,5,2223,4457,67,0,0,32,29,14,11,5462,123,1070,25,153,6680,4023521.6689999998
3590,Mortágua,2023,6,2097,4601,7,0,0,26,23,15,10,5482,123,1071,22,81,6698,3872808.0830000006
3591,Mortágua,2023,7,1974,4739,2,0,0,21,20,16,12,5492,123,1074,24,71,6713,4451595.403
3592,Mortágua,2023,8,1854,4862,15,0,1,19,15,19,4,5491,123,1077,25,73,6716,4101812.759
3593,Mortágua,2023,9,1591,5135,10,0,0,12,9,14,2,5501,123,1079,23,47,6726,4530730.938
3594,Mortágua,2023,10,1589,5146,21,0,1,29,23,16,5,5506,124,1083,22,95,6735,4641002.334
3595,Mortágua,2023,11,1146,5594,1,0,0,33,27,16,10,5507,124,1087,22,87,6740,4896503.578
3596,Mortágua,2023,12,960,5777,1,0,0,25,17,15,6,5504,124,1087,22,64,6737,5371307.988
3597,Mortágua,2024,1,821,5923,2,0,0,25,22,20,8,5503,124,1095,22,77,6744,5343305.509000001
3598,Mortágua,2024,2,705,6041,3,0,0,16,11,18,2,5505,124,1096,21,50,6746,1679831.491
3600,Moura,2022,3,4102,6236,0,0,0,26,27,9,15,8172,77,2068,21,77,10338,4098234.622
3601,Moura,2022,4,4218,6110,0,0,0,69,67,25,25,8166,77,2063,22,186,10328,3911288.925
3602,Moura,2022,5,4250,6067,5,0,0,76,57,21,19,8153,78,2062,24,178,10317,4435216.643
3603,Moura,2022,6,4480,5854,1,1,0,78,75,18,23,8158,78,2068,30,196,10334,4826397.013
