,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente
235,Alcácer do Sal,2022,4,Setúbal,1679,6694
236,Alcácer do Sal,2022,5,Setúbal,1576,6796
237,Alcácer do Sal,2022,6,Setúbal,1672,6713
238,Alcácer do Sal,2022,7,Setúbal,1407,7010
239,Alcácer do Sal,2022,8,Setúbal,1392,7029
240,Alcácer do Sal,2022,9,Setúbal,1380,7033
241,Alcácer do Sal,2022,10,Setúbal,1339,7070
242,Alcácer do Sal,2022,11,Setúbal,1378,7042
243,Alcácer do Sal,2022,12,Setúbal,1234,7193
244,Alcácer do Sal,2023,1,Setúbal,1188,7241
245,Alcácer do Sal,2023,2,Setúbal,1196,7235
246,Alcácer do Sal,2023,3,Setúbal,1098,7339
247,Alcácer do Sal,2023,4,Setúbal,1111,7326
248,Alcácer do Sal,2023,5,Setúbal,1060,7377
249,Alcácer do Sal,2023,6,Setúbal,1043,7437
250,Alcácer do Sal,2023,7,Setúbal,980,7505
251,Alcácer do Sal,2023,8,Setúbal,946,7542
252,Alcácer do Sal,2023,9,Setúbal,837,7663
253,Alcácer do Sal,2023,10,Setúbal,806,7695
254,Alcácer do Sal,2023,11,Setúbal,679,7836
255,Alcácer do Sal,2023,12,Setúbal,661,7850
256,Alcácer do Sal,2024,1,Setúbal,603,7910
257,Alcácer do Sal,2024,2,Setúbal,543,7965
258,Alcácer do Sal,2024,3,Setúbal,539,7988
259,Alcácer do Sal,2024,4,Setúbal,552,7976
260,Alenquer,2022,3,Lisboa,6482,18121
261,Alenquer,2022,4,Lisboa,6554,18062
262,Alenquer,2022,5,Lisboa,6237,18374
263,Alenquer,2022,6,Lisboa,6434,18189
264,Alenquer,2022,7,Lisboa,5976,18651
265,Alenquer,2022,8,Lisboa,5799,18856
266,Alenquer,2022,9,Lisboa,5726,18956
267,Alenquer,2022,10,Lisboa,5447,19244
268,Alenquer,2022,11,Lisboa,5532,19195
269,Alenquer,2022,12,Lisboa,5302,19425
270,Alenquer,2023,1,Lisboa,5424,19328
271,Alenquer,2023,2,Lisboa,5054,19716
272,Alenquer,2023,3,Lisboa,4332,20442
273,Alenquer,2023,4,Lisboa,4145,20628
274,Alenquer,2023,5,Lisboa,3734,21039
275,Alenquer,2023,6,Lisboa,3434,21424
276,Alenquer,2023,7,Lisboa,3138,21742
277,Alenquer,2023,8,Lisboa,2883,22024
278,Alenquer,2023,9,Lisboa,2703,22219
279,Alenquer,2023,10,Lisboa,2411,22547
280,Alenquer,2023,11,Lisboa,1770,23227
281,Alenquer,2023,12,Lisboa,1429,23600
282,Alenquer,2024,1,Lisboa,1435,23616
283,Alenquer,2024,2,Lisboa,1261,23773
284,Alenquer,2024,3,Lisboa,1276,23777
285,Alenquer,2024,4,Lisboa,1279,23784
286,Alfândega da Fé,2022,3,Bragança,653,3510
287,Alfândega da Fé,2022,4,Bragança,722,3444
288,Alfândega da Fé,2022,5,Bragança,586,3574
289,Alfândega da Fé,2022,6,Bragança,622,3537
290,Alfândega da Fé,2022,7,Bragança,552,3615
291,Alfândega da Fé,2022,8,Bragança,523,3648
292,Alfândega da Fé,2022,9,Bragança,535,3640
293,Alfândega da Fé,2022,10,Bragança,512,3658
294,Alfândega da Fé,2022,11,Bragança,506,3662
295,Alfândega da Fé,2022,12,Bragança,488,3678
296,Alfândega da Fé,2023,1,Bragança,487,3677
297,Alfândega da Fé,2023,2,Bragança,483,3678
