,concelho,ano,mes,distrito,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros
260,Alenquer,2023,1,Lisboa,19967,271,4435,79
261,Alenquer,2023,2,Lisboa,19983,271,4438,78
262,Alenquer,2023,3,Lisboa,19990,271,4435,78
263,Alenquer,2023,4,Lisboa,19990,271,4434,78
264,Alenquer,2023,5,Lisboa,19990,271,4434,78
265,Alenquer,2023,6,Lisboa,20044,271,4464,79
266,Alenquer,2023,7,Lisboa,20066,271,4466,77
267,Alenquer,2023,8,Lisboa,20084,271,4470,82
268,Alenquer,2023,9,Lisboa,20102,271,4476,73
269,Alenquer,2023,10,Lisboa,20122,272,4493,71
270,Alenquer,2023,11,Lisboa,20145,272,4499,81
271,Alenquer,2023,12,Lisboa,20170,272,4505,82
272,Alenquer,2024,1,Lisboa,20201,273,4510,67
273,Alenquer,2024,2,Lisboa,20190,273,4503,68
274,Alenquer,2024,3,Lisboa,20201,273,4511,68
275,Alfândega da Fé,2022,3,Bragança,3255,57,820,31
276,Alfândega da Fé,2022,4,Bragança,3255,57,822,32
277,Alfândega da Fé,2022,5,Bragança,3251,57,820,32
278,Alfândega da Fé,2022,6,Bragança,3249,57,820,33
279,Alfândega da Fé,2022,7,Bragança,3251,57,824,35
280,Alfândega da Fé,2022,8,Bragança,3254,57,827,33
281,Alfândega da Fé,2022,9,Bragança,3251,57,835,32
282,Alfândega da Fé,2022,10,Bragança,3250,57,831,32
283,Alfândega da Fé,2022,11,Bragança,3249,57,830,32
284,Alfândega da Fé,2022,12,Bragança,3251,57,828,30
285,Alfândega da Fé,2023,1,Bragança,3249,57,828,30
286,Alfândega da Fé,2023,2,Bragança,3250,57,825,29
287,Alfândega da Fé,2023,3,Bragança,3249,57,830,29
288,Alfândega da Fé,2023,4,Bragança,3246,57,830,29
289,Alfândega da Fé,2023,5,Bragança,3246,57,830,29
290,Alfândega da Fé,2023,6,Bragança,3248,57,834,28
291,Alfândega da Fé,2023,7,Bragança,3248,57,836,31
292,Alfândega da Fé,2023,8,Bragança,3251,57,839,28
293,Alfândega da Fé,2023,9,Bragança,3249,57,840,28
294,Alfândega da Fé,2023,10,Bragança,3247,57,841,27
295,Alfândega da Fé,2023,11,Bragança,3246,57,844,27
296,Alfândega da Fé,2023,12,Bragança,3244,57,843,26
297,Alfândega da Fé,2024,1,Bragança,3244,57,845,25
298,Alfândega da Fé,2024,2,Bragança,3243,57,844,25
299,Alfândega da Fé,2024,3,Bragança,3247,57,845,26
300,Alijó,2022,3,Vila Real,7451,92,1534,28
301,Alijó,2022,4,Vila Real,7451,92,1534,26
302,Alijó,2022,5,Vila Real,7441,92,1534,26
303,Alijó,2022,6,Vila Real,7448,92,1535,28
304,Alijó,2022,7,Vila Real,7451,92,1542,29
305,Alijó,2022,8,Vila Real,7451,93,1544,28
306,Alijó,2022,9,Vila Real,7454,94,1547,22
307,Alijó,2022,10,Vila Real,7446,94,1545,22
308,Alijó,2022,11,Vila Real,7438,94,1542,23
309,Alijó,2022,12,Vila Real,7438,95,1544,21
310,Alijó,2023,1,Vila Real,7441,95,1548,21
311,Alijó,2023,2,Vila Real,7454,95,1554,21
312,Alijó,2023,3,Vila Real,7457,95,1559,21
313,Alijó,2023,4,Vila Real,7457,95,1559,21
314,Alijó,2023,5,Vila Real,7457,95,1559,21
315,Alijó,2023,6,Vila Real,7463,95,1565,23
316,Alijó,2023,7,Vila Real,7471,95,1562,22
317,Alijó,2023,8,Vila Real,7476,95,1568,23
318,Alijó,2023,9,Vila Real,7476,95,1569,21
319,Alijó,2023,10,Vila Real,7480,95,1567,21
320,Alijó,2023,11,Vila Real,7467,95,1568,22
321,Alijó,2023,12,Vila Real,7456,95,1572,22
322,Alijó,2024,1,Vila Real,7456,95,1573,23
323,Alijó,2024,2,Vila Real,7445,95,1568,22
324,Alijó,2024,3,Vila Real,7442,95,1570,23
325,Aljezur,2022,3,Faro,5312,121,951,32
326,Aljezur,2022,4,Faro,5315,121,952,30
327,Aljezur,2022,5,Faro,5324,121,954,29
328,Aljezur,2022,6,Faro,5325,121,951,29
329,Aljezur,2022,7,Faro,5335,121,957,29
330,Aljezur,2022,8,Faro,5339,121,959,28
331,Aljezur,2022,9,Faro,5337,121,959,27
332,Aljezur,2022,10,Faro,5335,123,963,29
333,Aljezur,2022,11,Faro,5343,123,970,29
334,Aljezur,2022,12,Faro,5348,124,973,26
335,Aljezur,2023,1,Faro,5354,124,975,24
336,Aljezur,2023,2,Faro,5354,124,975,25
337,Aljezur,2023,3,Faro,5352,124,976,24
338,Aljezur,2023,4,Faro,5352,124,976,24
339,Aljezur,2023,5,Faro,5352,124,976,24
340,Aljezur,2023,6,Faro,5397,124,980,22
341,Aljezur,2023,7,Faro,5412,124,983,21
342,Aljezur,2023,8,Faro,5415,124,987,20
343,Aljezur,2023,9,Faro,5426,124,989,19
344,Aljezur,2023,10,Faro,5429,124,993,23
345,Aljezur,2023,11,Faro,5430,125,994,21
346,Aljezur,2023,12,Faro,5438,125,996,23
347,Aljezur,2024,1,Faro,5442,125,996,23
348,Aljezur,2024,2,Faro,5445,125,994,22
349,Aljezur,2024,3,Faro,5447,125,996,22
350,Aljustrel,2022,3,Beja,4885,60,1036,30
351,Aljustrel,2022,4,Beja,4880,60,1038,31
352,Aljustrel,2022,5,Beja,4875,60,1036,29
353,Aljustrel,2022,6,Beja,4879,60,1037,28
354,Aljustrel,2022,7,Beja,4888,60,1037,30
355,Aljustrel,2022,8,Beja,4898,60,1038,31
356,Aljustrel,2022,9,Beja,4905,60,1040,29
357,Aljustrel,2022,10,Beja,4907,60,1037,28
358,Aljustrel,2022,11,Beja,4908,60,1038,29
359,Aljustrel,2022,12,Beja,4909,60,1038,29
360,Aljustrel,2023,1,Beja,4915,60,1039,28
361,Aljustrel,2023,2,Beja,4920,60,1037,28
362,Aljustrel,2023,3,Beja,4919,60,1038,28
363,Aljustrel,2023,4,Beja,4919,60,1038,28
364,Aljustrel,2023,5,Beja,4919,60,1038,28
365,Aljustrel,2023,6,Beja,4923,60,1043,32
366,Aljustrel,2023,7,Beja,4926,60,1047,31
367,Aljustrel,2023,8,Beja,4927,60,1050,31
368,Aljustrel,2023,9,Beja,4932,60,1052,30
369,Aljustrel,2023,10,Beja,4926,60,1052,30
370,Aljustrel,2023,11,Beja,4933,60,1052,31
371,Aljustrel,2023,12,Beja,4938,60,1050,31
372,Aljustrel,2024,1,Beja,4933,60,1049,30
373,Aljustrel,2024,2,Beja,4933,60,1049,31
374,Aljustrel,2024,3,Beja,4934,60,1050,31
375,Almada,2022,3,Setúbal,95842,530,18506,604
376,Almada,2022,4,Setúbal,95818,530,18527,601
377,Almada,2022,5,Setúbal,95825,530,18534,598
378,Almada,2022,6,Setúbal,95908,530,18543,606
379,Almada,2022,7,Setúbal,95953,530,18553,618
380,Almada,2022,8,Setúbal,95992,530,18561,607
381,Almada,2022,9,Setúbal,96053,530,18587,600
382,Almada,2022,10,Setúbal,96105,530,18607,594
383,Almada,2022,11,Setúbal,96142,530,18624,608
384,Almada,2022,12,Setúbal,96146,530,18651,621
385,Almada,2023,1,Setúbal,96238,530,18677,599
386,Almada,2023,2,Setúbal,96285,530,18702,601
387,Almada,2023,3,Setúbal,96299,530,18715,602
388,Almada,2023,4,Setúbal,96299,530,18715,602
389,Almada,2023,5,Setúbal,96299,530,18715,602
390,Almada,2023,6,Setúbal,96518,531,18786,612
391,Almada,2023,7,Setúbal,96588,531,18800,613
392,Almada,2023,8,Setúbal,96604,531,18823,594
393,Almada,2023,9,Setúbal,96620,531,18831,588
394,Almada,2023,10,Setúbal,96653,531,18847,586
395,Almada,2023,11,Setúbal,96676,531,18856,598
396,Almada,2023,12,Setúbal,96661,531,18844,595
397,Almada,2024,1,Setúbal,96716,531,18842,566
398,Almada,2024,2,Setúbal,96690,531,18839,572
399,Almada,2024,3,Setúbal,96762,531,18873,570
400,Almeida,2022,3,Guarda,5735,124,1138,10
401,Almeida,2022,4,Guarda,5732,125,1139,13
402,Almeida,2022,5,Guarda,5717,125,1140,11
403,Almeida,2022,6,Guarda,5715,125,1135,12
404,Almeida,2022,7,Guarda,5714,125,1135,13
405,Almeida,2022,8,Guarda,5714,125,1136,13
406,Almeida,2022,9,Guarda,5711,125,1135,12
407,Almeida,2022,10,Guarda,5714,125,1138,13
408,Almeida,2022,11,Guarda,5711,125,1138,13
409,Almeida,2022,12,Guarda,5711,125,1141,15
410,Almeida,2023,1,Guarda,5706,125,1149,12
411,Almeida,2023,2,Guarda,5714,125,1148,11
412,Almeida,2023,3,Guarda,5713,125,1146,11
413,Almeida,2023,4,Guarda,5713,125,1146,11
414,Almeida,2023,5,Guarda,5713,125,1146,11
415,Almeida,2023,6,Guarda,5724,127,1152,11
416,Almeida,2023,7,Guarda,5730,127,1153,13
417,Almeida,2023,8,Guarda,5737,127,1151,11
418,Almeida,2023,9,Guarda,5731,127,1152,9
419,Almeida,2023,10,Guarda,5735,127,1152,9
420,Almeida,2023,11,Guarda,5738,127,1151,9
421,Almeida,2023,12,Guarda,5737,127,1151,13
422,Almeida,2024,1,Guarda,5738,127,1149,9
423,Almeida,2024,2,Guarda,5732,127,1151,9
424,Almeida,2024,3,Guarda,5729,127,1150,8
425,Almeirim,2022,3,Santarém,10130,155,3521,60
426,Almeirim,2022,4,Santarém,10139,157,3538,60
427,Almeirim,2022,5,Santarém,10140,157,3570,60
428,Almeirim,2022,6,Santarém,10152,157,3601,63
429,Almeirim,2022,7,Santarém,10166,157,3601,62
430,Almeirim,2022,8,Santarém,10177,157,3598,65
431,Almeirim,2022,9,Santarém,10184,157,3568,60
432,Almeirim,2022,10,Santarém,10197,157,3544,60
433,Almeirim,2022,11,Santarém,10199,157,3527,61
434,Almeirim,2022,12,Santarém,10209,157,3513,59
435,Almeirim,2023,1,Santarém,10210,157,3518,57
436,Almeirim,2023,2,Santarém,10208,157,3530,59
437,Almeirim,2023,3,Santarém,10226,157,3552,58
438,Almeirim,2023,4,Santarém,10226,157,3552,58
439,Almeirim,2023,5,Santarém,10226,157,3552,58
440,Almeirim,2023,6,Santarém,10244,157,3656,60
441,Almeirim,2023,7,Santarém,10243,157,3665,59
442,Almeirim,2023,8,Santarém,10245,157,3661,64
443,Almeirim,2023,9,Santarém,10250,157,3644,56
444,Almeirim,2023,10,Santarém,10259,157,3617,57
445,Almeirim,2023,11,Santarém,10259,157,3607,57
446,Almeirim,2023,12,Santarém,10267,157,3606,57
447,Almeirim,2024,1,Santarém,10271,158,3607,56
