,concelho,ano,mes,distrito,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao
158,Alcobaça,2022,5,Leiria,17,0,190,150,114,55
159,Alcobaça,2022,6,Leiria,4,0,234,206,124,84
160,Alcobaça,2022,7,Leiria,5,0,233,191,75,50
161,Alcobaça,2022,8,Leiria,10,0,251,223,100,98
162,Alcobaça,2022,9,Leiria,11,0,191,175,83,72
163,Alcobaça,2022,10,Leiria,58,0,175,184,92,74
164,Alcobaça,2022,11,Leiria,227,1,224,179,114,61
165,Alcobaça,2022,12,Leiria,244,0,187,172,109,79
166,Alcobaça,2023,1,Leiria,293,0,303,235,126,92
167,Alcobaça,2023,2,Leiria,827,0,223,194,106,81
168,Alcobaça,2023,3,Leiria,441,0,238,194,130,108
169,Alcobaça,2023,4,Leiria,548,0,275,251,80,107
170,Alcobaça,2023,5,Leiria,940,0,365,301,110,119
171,Alcobaça,2023,6,Leiria,173,0,301,243,108,97
172,Alcobaça,2023,7,Leiria,12,0,312,291,105,101
173,Alcobaça,2023,8,Leiria,29,0,256,218,119,97
174,Alcobaça,2023,9,Leiria,20,0,243,207,122,101
175,Alcobaça,2023,10,Leiria,49,0,352,268,124,91
176,Alcobaça,2023,11,Leiria,14,0,435,358,144,72
177,Alcobaça,2023,12,Leiria,11,0,239,211,136,43
178,Alcobaça,2024,1,Leiria,12,0,355,256,180,66
179,Alcobaça,2024,2,Leiria,6,0,193,154,79,31
180,Alcobaça,2024,3,Leiria,19,0,295,240,154,47
181,Alcobaça,2024,4,Leiria,3,0,71,47,11,10
182,Alcochete,2022,3,Setúbal,3,0,54,47,19,23
183,Alcochete,2022,4,Setúbal,5,0,94,88,55,24
184,Alcochete,2022,5,Setúbal,11,0,135,96,55,32
185,Alcochete,2022,6,Setúbal,9,0,127,125,49,42
186,Alcochete,2022,7,Setúbal,4,0,110,72,43,25
187,Alcochete,2022,8,Setúbal,6,0,139,102,50,41
188,Alcochete,2022,9,Setúbal,6,0,109,83,54,35
189,Alcochete,2022,10,Setúbal,15,1,85,87,58,28
190,Alcochete,2022,11,Setúbal,55,0,126,83,45,21
191,Alcochete,2022,12,Setúbal,111,0,93,89,51,27
192,Alcochete,2023,1,Setúbal,110,1,146,102,74,45
193,Alcochete,2023,2,Setúbal,100,0,114,93,60,51
194,Alcochete,2023,3,Setúbal,68,0,105,77,78,35
195,Alcochete,2023,4,Setúbal,53,0,122,93,30,44
196,Alcochete,2023,5,Setúbal,110,0,152,107,59,35
197,Alcochete,2023,6,Setúbal,9,0,111,102,52,43
198,Alcochete,2023,7,Setúbal,9,0,124,85,57,38
199,Alcochete,2023,8,Setúbal,8,0,127,110,51,48
200,Alcochete,2023,9,Setúbal,6,0,112,79,53,30
201,Alcochete,2023,10,Setúbal,15,0,115,92,74,32
202,Alcochete,2023,11,Setúbal,7,0,151,109,62,19
203,Alcochete,2023,12,Setúbal,0,0,80,64,47,14
204,Alcochete,2024,1,Setúbal,4,0,129,93,62,25
205,Alcochete,2024,2,Setúbal,1,0,55,39,34,9
206,Alcochete,2024,3,Setúbal,3,0,78,46,54,15
207,Alcochete,2024,4,Setúbal,0,0,21,14,6,3
208,Alcoutim,2022,3,Faro,0,1,4,4,0,5
209,Alcoutim,2022,4,Faro,0,0,8,7,6,11
210,Alcoutim,2022,5,Faro,0,0,7,6,4,1
211,Alcoutim,2022,6,Faro,0,0,7,9,3,9
212,Alcoutim,2022,7,Faro,0,0,6,5,3,2
213,Alcoutim,2022,8,Faro,0,0,10,13,4,4
214,Alcoutim,2022,9,Faro,1,0,5,4,5,2
215,Alcoutim,2022,10,Faro,1,0,8,5,10,9
216,Alcoutim,2022,11,Faro,16,0,10,8,9,9
217,Alcoutim,2022,12,Faro,46,0,7,5,3,5
218,Alcoutim,2023,1,Faro,26,0,9,4,8,11
219,Alcoutim,2023,2,Faro,18,0,9,8,7,4
220,Alcoutim,2023,3,Faro,38,0,15,18,4,10
221,Alcoutim,2023,4,Faro,26,0,7,6,1,5
222,Alcoutim,2023,5,Faro,40,0,8,6,1,5
223,Alcoutim,2023,6,Faro,2,0,4,3,5,5
