,Ano,Mês,Concelho,Energia Ativa (kWh)
79094,2022,1,Vieira do Minho,372947.87
79095,2022,12,Santa Marta de Penaguião,146403.763
79096,2022,1,Penamacor,38418.516
79097,2023,1,Bragança,34041.001
79098,2022,1,Miranda do Corvo,24546.257
79099,2023,1,Sobral de Monte Agraço,407900.422
79100,2022,1,Vila Nova de Foz Côa,33137.981
79101,2023,1,Marco de Canaveses,135323.678
79102,2022,1,Alcobaça,254942.194
79103,2023,1,Vila Pouca de Aguiar,270302.104
79104,2022,1,Baião,231932.779
79105,2023,2,Albergaria-a-Velha,2175812.846
79106,2022,1,Armamar,45010.741
79107,2023,2,Barcelos,43319.101
79108,2022,2,Barcelos,102209.073
79109,2023,2,Póvoa de Lanhoso,106155.241
79110,2022,2,Braga,3681770.653
79111,2023,2,Bragança,155509.834
79112,2022,2,Vila Nova de Famalicão,550121.898
79113,2023,2,Montemor-o-Velho,79187.813
79114,2022,2,Vila Verde,59758.765
79115,2023,2,Soure,42607.858
79116,2022,2,Reguengos de Monsaraz,58444.59
79117,2023,2,Gouveia,73396.006
79118,2022,2,Porto de Mós,608855.68
79119,2023,2,Sardoal,44547.945
79120,2022,2,Marvão,160483.327
79121,2023,3,Beja,2803262.705
79122,2022,2,Sardoal,464511.633
79123,2023,3,Serpa,428385.247
79124,2022,2,Torres Novas,295871.65
79125,2023,3,Vila Nova de Foz Côa,34566.386
79126,2022,2,Castro daire,179812.124
79127,2023,3,Alenquer,518699.069
79128,2022,2,Nelas,84489.946
79129,2023,3,Gavião,337980.272
79130,2022,3,Anadia,271691.233
79131,2023,3,Paredes,35001.911
79132,2022,3,Cabeceiras de Basto,54697.491
79133,2023,3,Vila do Conde,505390.183
79134,2022,3,Fafe,109046.298
79135,2023,3,Sabrosa,43064.633
79136,2022,3,Mourão,4381.429
79137,2023,3,Valpaços,10913.491
79138,2022,3,Marinha Grande,35721995.608
79139,2022,3,Ferreira do Zêzere,123128.19
79140,2022,3,Penalva do Castelo,94235.005
79141,2022,4,Vale de Cambra,1020869.57
79142,2022,4,Guimarães,250385.725
79143,2023,4,Soure,118480.945
79144,2023,4,Reguengos de Monsaraz,194191.342
79145,2023,4,Paredes,156000.298
79146,2023,4,Viana do Castelo,118134.612
79147,2023,5,Vila Verde,50941.467
79148,2023,5,Idanha-a-Nova,215851.501
79149,2023,5,Coruche,266021.376
79150,2023,6,Manteigas,291524.084
79151,2023,6,Torres Vedras,372682.62
79152,2023,6,Cartaxo,650354.558
79153,2023,6,Peso da Régua,89410.688
79154,2023,7,Almeida,30712.38
79155,2023,7,Lisboa,7632496.41
79156,2023,7,Cinfães,191366.259
79157,2023,8,Batalha,1692980.492
79158,2023,8,Amadora,3995346.636
79159,2023,8,Sintra,609556.32
79160,2023,9,Mirandela,184593.314
79161,2023,9,Mafra,369359.145
79162,2023,9,Santo Tirso,2923041.712
79163,2023,10,Braga,140647.581
79164,2023,10,Loulé,91759.606
79165,2023,11,Oliveira do Bairro,331808.44
79166,2023,11,Braga,149377.722
79167,2023,11,Vila Verde,292625.139
79168,2023,11,Tavira,611271.559
79169,2023,11,Figueiró dos Vinhos,177707.203
79170,2023,11,Paredes,1560003.558
79171,2023,12,Melgaço,77946.498
79172,2023,12,Sátão,166641.476
79173,2024,1,Mealhada,629848.608
79174,2024,1,Vale de Cambra,352575.623
79175,2024,1,Amares,81998.746
79176,2022,4,Mogadouro,33171.235
