,Ano,Semestre,CodConcelho,Concelho,Pedidos de Ligação à Rede Executados (#)
402,2024,1,605,Figueira da Foz,1.0
403,2024,1,308,Guimarães,1.0
404,2024,1,1106,Lisboa,3.0
405,2024,1,1107,Loures,1.0
406,2024,1,1108,Lourinhã,1.0
407,2024,1,1308,Matosinhos,1.0
408,2024,1,610,Montemor-o-Velho,1.0
409,2024,1,1110,Oeiras,1.0
410,2024,1,810,Olhão,2.0
411,2024,1,1214,Portalegre,2.0
412,2024,1,508,Proença-a-Nova,2.0
413,2024,1,1415,Salvaterra de Magos,1.0
414,2024,1,1418,Tomar,1.0
415,2024,1,1318,Trofa,1.0
416,2024,1,1315,Valongo,2.0
417,2024,1,713,Viana do Alentejo,4.0
418,2024,1,1114,Vila Franca de Xira,1.0
419,2024,1,1317,Vila Nova de Gaia,1.0
420,2024,1,510,Vila de Rei,1.0
421,2024,1,1823,Viseu,1.0
